source_id,kode_wilayah,wilayah,kecamatan,kelurahan,nama_tps,longitude,latitude,source,source_url,quality_note
1093,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LPS RW 08 Cempaka Baru,-6.166198,106.863536,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
1098,71,KOTA ADM. JAKARTA PUSAT,SENEN,KWITANG,TPS Gunung Agung ,-6.181900266601883,106.83816617759,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
645,72,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,LPS RW 06,-6.120833333,106.7888889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
646,72,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,Pool gerobak RW 08 Pluit,-6.121388889,106.7747222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
647,72,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,Pool gerobak RW 15 Pluit,-6.1225,106.7761111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
648,72,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,Lintas door to door RW 07 ,-6.1225,106.7875,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
649,72,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,Lintas door to door Rw 09 ,-6.124166667,106.7955556,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
650,72,KOTA ADM. JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Pool gerobak RW 13 ,-6.131666667,106.8316667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
651,72,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,Lintas RW 12 ,-6.141111111,106.8375,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
652,72,KOTA ADM. JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Lintas RW 11 ,-6.13,106.8427778,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
657,72,KOTA ADM. JAKARTA UTARA,CILINCING,SUKAPURA,Lintas Perumahan RW 08 Bea Cukai ,-6.15231,106.923177,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
658,72,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,TPS Rawa Indah RT 03 ,-6.144656,106.915433,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
659,72,KOTA ADM. JAKARTA UTARA,CILINCING,SUKAPURA,TPS Rawa Indah ,-6.143696,106.915749,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
660,72,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,TPS RW 05 Pelindo ,-6.11081,106.936781,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
661,72,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,TPS RT 16/ RW 03 CILINCING,-6.100596,106.934312,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
662,72,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,TPS RT 11/ RW 04 CILINCING,-6.100486,106.93462,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
663,72,KOTA ADM. JAKARTA UTARA,CILINCING,KALIBARU,TPS RW 14 ,-6.103246,106.927966,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
664,72,KOTA ADM. JAKARTA UTARA,CILINCING,KALIBARU,TPS RW 13 Kp. Kerang Hijau ,-6.098562,106.93292,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
665,72,KOTA ADM. JAKARTA UTARA,CILINCING,KALIBARU,"TPS RW 02, RW 03 KALIBARU",-6.102866,106.928259,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
666,72,KOTA ADM. JAKARTA UTARA,CILINCING,KALIBARU,Dipo RW 08 Kalibaru ,-6.10573,106.91446,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
667,72,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,TPS RW 07 Rorotan ,-6.157344,106.958426,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
668,72,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,TPS RW 12 Rorotan ,-6.1558022,106.948387,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
669,72,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,TPS RW 10 Rorotan ,-6.155839,106.953069,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
670,72,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,TPS RW 04 Rorotan ,-6.160475,106.94918,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
671,72,KOTA ADM. JAKARTA UTARA,CILINCING,MARUNDA,TPS Cabang 4 RW 03 ,-6.123964,106.960209,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
672,72,KOTA ADM. JAKARTA UTARA,CILINCING,MARUNDA,TPS Rusun Marunda RW 10 ,-6.096953,106.96293,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
673,72,KOTA ADM. JAKARTA UTARA,CILINCING,MARUNDA,TPS Rusun Marunda  ,-6.096817,106.963452,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
